Address,Price,Beds,Baths,Sizes
"132-08 95th Ave, Jamaica, NY 11419","$1,950,000",6,5,"4,000sqft"
"47-14 Corona Ave Blvd, Flushing, NY 11368","$2,200,000",12,8,No display data
"43-04 158th St Unit 1B and P07, Flushing, NY 11358","$678,000",2,2,904sqft
"533 Underhill Ave, Bronx, NY 10473","$399,999",4,2,"1,292sqft"
"1041 Herkimer St, Bedford Stuyvesant, NY 11233","$959,000",4,2,No display data
"371 Sycamore St, Staten Island, NY 10312","$699,000",3,2,"1,250sqft"
"2803 Avenue Y, Brooklyn, NY 11235","$1,300,000",3,2.5,"1,995sqft"
"163-10 22nd Ave, Whitestone, NY 11357","$925,000",3,1.5,"1,024sqft"
"3203 69th St, Woodside, NY 11377","$989,000",3,3,"1,680sqft"
"43-18 Robinson St Unit 5B, Flushing, NY 11355","$599,000",2,2,No display data
"3135 Johnson Ave Apt 5F, Bronx, NY 10463","$369,000",2,1,975sqft
"85-11 Lefferts Blvd Unit 4C, Kew Gardens, NY 11415","$419,999",2,1,No display data
"10 Clearmont Ave, Staten Island, NY 10309","$1,350,000",3,2.5,"3,480sqft"
"1743 W 13th St, Brooklyn, NY 11223","$1,040,000",3,3,"1,440sqft"
"275 Clermont Ave, Brooklyn, NY 11205","$3,999,995",5,4,"3,948sqft"
"328 Atlantic Ave Unit 301, Brooklyn, NY 11201","$2,650,000",3,2.5,"1,728sqft"
"324 E 41st St Apt 703C, New York, NY 10017","$925,000",2,1,No display data
"483 Marion St Unit Penthouse, New York, NY ","$1,495,000",3,3.5,"1,782sqft"
"562 Georgia Ave, Brooklyn, NY 11207","$1,400,000",7,4,"3,198sqft"
"328 Atlantic Ave Unit 201, Brooklyn, NY 11201","$2,850,000",3,2.5,"1,738sqft"
"70 Little West St Apt 10B, New York, NY 10004","$4,150,000",4,3,"2,130sqft"
"40 Roe St, Staten Island, NY 10310","$699,000",3,3,"2,314sqft"
"85-44 105th St, Richmond Hill, NY 11418","$900,000",5,3.5,"1,858sqft"
"79-44 Calamus Ave, Elmhurst, NY 11373","$1,095,000",3,2.5,"1,480sqft"
"214-18 46th Ave, Bayside, NY 11361","$880,000",3,2,No display data
"98 Prospect Park SW, Brooklyn, NY 11218","$2,795,000",6,3,"2,560sqft"
"132-08 95th Ave, Jamaica, NY 11419","$1,950,000",6,5,"4,000sqft"
"47-14 Corona Ave Blvd, Flushing, NY 11368","$2,200,000",12,8,No display data
"43-04 158th St Unit 1B and P07, Flushing, NY 11358","$678,000",2,2,904sqft
"533 Underhill Ave, Bronx, NY 10473","$399,999",4,2,"1,292sqft"
"1041 Herkimer St, Bedford Stuyvesant, NY 11233","$959,000",4,2,No display data
"371 Sycamore St, Staten Island, NY 10312","$699,000",3,2,"1,250sqft"
"2803 Avenue Y, Brooklyn, NY 11235","$1,300,000",3,2.5,"1,995sqft"
"163-10 22nd Ave, Whitestone, NY 11357","$925,000",3,1.5,"1,024sqft"
"3203 69th St, Woodside, NY 11377","$989,000",3,3,"1,680sqft"
"43-18 Robinson St Unit 5B, Flushing, NY 11355","$599,000",2,2,No display data
"3135 Johnson Ave Apt 5F, Bronx, NY 10463","$369,000",2,1,975sqft
"85-11 Lefferts Blvd Unit 4C, Kew Gardens, NY 11415","$419,999",2,1,No display data
"10 Clearmont Ave, Staten Island, NY 10309","$1,350,000",3,2.5,"3,480sqft"
"1743 W 13th St, Brooklyn, NY 11223","$1,040,000",3,3,"1,440sqft"
"275 Clermont Ave, Brooklyn, NY 11205","$3,999,995",5,4,"3,948sqft"
"328 Atlantic Ave Unit 301, Brooklyn, NY 11201","$2,650,000",3,2.5,"1,728sqft"
"324 E 41st St Apt 703C, New York, NY 10017","$925,000",2,1,No display data
"483 Marion St Unit Penthouse, New York, NY ","$1,495,000",3,3.5,"1,782sqft"
"562 Georgia Ave, Brooklyn, NY 11207","$1,400,000",7,4,"3,198sqft"
"328 Atlantic Ave Unit 201, Brooklyn, NY 11201","$2,850,000",3,2.5,"1,738sqft"
"70 Little West St Apt 10B, New York, NY 10004","$4,150,000",4,3,"2,130sqft"
"40 Roe St, Staten Island, NY 10310","$699,000",3,3,"2,314sqft"
"85-44 105th St, Richmond Hill, NY 11418","$900,000",5,3.5,"1,858sqft"
"79-44 Calamus Ave, Elmhurst, NY 11373","$1,095,000",3,2.5,"1,480sqft"
"214-18 46th Ave, Bayside, NY 11361","$880,000",3,2,No display data
"98 Prospect Park SW, Brooklyn, NY 11218","$2,795,000",6,3,"2,560sqft"
"132-08 95th Ave, Jamaica, NY 11419","$1,950,000",6,5,"4,000sqft"
"47-14 Corona Ave Blvd, Flushing, NY 11368","$2,200,000",12,8,No display data
"43-04 158th St Unit 1B and P07, Flushing, NY 11358","$678,000",2,2,904sqft
"533 Underhill Ave, Bronx, NY 10473","$399,999",4,2,"1,292sqft"
"1041 Herkimer St, Bedford Stuyvesant, NY 11233","$959,000",4,2,No display data
"371 Sycamore St, Staten Island, NY 10312","$699,000",3,2,"1,250sqft"
"2803 Avenue Y, Brooklyn, NY 11235","$1,300,000",3,2.5,"1,995sqft"
"163-10 22nd Ave, Whitestone, NY 11357","$925,000",3,1.5,"1,024sqft"
"3203 69th St, Woodside, NY 11377","$989,000",3,3,"1,680sqft"
"43-18 Robinson St Unit 5B, Flushing, NY 11355","$599,000",2,2,No display data
"3135 Johnson Ave Apt 5F, Bronx, NY 10463","$369,000",2,1,975sqft
"85-11 Lefferts Blvd Unit 4C, Kew Gardens, NY 11415","$419,999",2,1,No display data
"10 Clearmont Ave, Staten Island, NY 10309","$1,350,000",3,2.5,"3,480sqft"
"1743 W 13th St, Brooklyn, NY 11223","$1,040,000",3,3,"1,440sqft"
"275 Clermont Ave, Brooklyn, NY 11205","$3,999,995",5,4,"3,948sqft"
"328 Atlantic Ave Unit 301, Brooklyn, NY 11201","$2,650,000",3,2.5,"1,728sqft"
"324 E 41st St Apt 703C, New York, NY 10017","$925,000",2,1,No display data
"483 Marion St Unit Penthouse, New York, NY ","$1,495,000",3,3.5,"1,782sqft"
"562 Georgia Ave, Brooklyn, NY 11207","$1,400,000",7,4,"3,198sqft"
"328 Atlantic Ave Unit 201, Brooklyn, NY 11201","$2,850,000",3,2.5,"1,738sqft"
"70 Little West St Apt 10B, New York, NY 10004","$4,150,000",4,3,"2,130sqft"
"40 Roe St, Staten Island, NY 10310","$699,000",3,3,"2,314sqft"
"85-44 105th St, Richmond Hill, NY 11418","$900,000",5,3.5,"1,858sqft"
"79-44 Calamus Ave, Elmhurst, NY 11373","$1,095,000",3,2.5,"1,480sqft"
"214-18 46th Ave, Bayside, NY 11361","$880,000",3,2,No display data
"98 Prospect Park SW, Brooklyn, NY 11218","$2,795,000",6,3,"2,560sqft"
"222-07 41 Ave, Bayside, NY 11361","$2,188,000",4,3.5+,"2,380sqft"
"372 Dekalb Ave Apt 1O, Brooklyn, NY 11205","$1,150,000",2,1.5,No display data
"43-08 Little Neck Pkwy, Little Neck, NY 11363","$599,990",2,1,No display data
