Address,Price,Beds,Baths,Sizes
"88-28 81st Ave, Glendale, NY 11385","$1,225,000",5,4,No display data
"111 Fulton St Apt 424, New York, NY 10038","$1,500,000",2,3,"1,738sqft"
"21-47 33 St Unit 5C, Astoria, NY 11105","$299,000",2,1,No display data
"134-18 94th Pl, Ozone Park, NY 11417","$748,800",3,2,"1,582sqft"
"14 E 4th St Rm 823, Manhattan, NY 10012","$2,395,000",2,2,No display data
"565 W End Ave Apt 6A, New York, NY 10024","$1,750,000",2,2,No display data
"11 E 86th St Unit 3C, New York, NY 10028","$2,050,000",3,2.5,No display data
"144 47 177th St, Queens, NY 11434","$699,000",2,3,"1,950sqft"
"219 W 139th St, New York, NY 10030","$1,850,000",9,7.5,No display data
"115 E 81st St, New York, NY 10028","$8,795,000",4,3.5,"4,000sqft"
"30 Monarch Ct, Staten Island, NY 10314","$833,000",3,2.5,"1,865sqft"
"4334 156th St, Flushing, NY 11355","$839,000",2,2,922sqft
"193 24th St, Brooklyn, NY 11232","$1,400,000",3,3,No display data
"238-35 148th Dr, Rosedale, NY 11422","$1,289,000",6,5,No display data
"4181 DE Reimer Ave, Bronx, NY 10466","$575,000",3,1.5,No display data
"386 Columbus Ave Apt 15A, Manhattan, NY 10024","$2,295,000",2,2,"1,304sqft"
No display data,"$550,000",6,4,No display data
"190 Fordham St Apt 15, Bronx, NY 10464","$525,000",3,3,"1,525sqft"
"285 E 35th St Apt 2D, Brooklyn, NY 11203","$259,000",2,1,No display data
"48 Robin Ct, Staten Island, NY 10309","$919,999",4,2.5,No display data
"83-15 168th, Jamaica, NY 11432","$1,050,000",4,3,No display data
"88 Lexington Ave Apt 1007, New York, NY 10016","$2,795,000",2,2.5,"1,556sqft"
"156-15 110th Ave, Jamaica, NY 11433","$649,000",3,1.5,No display data
"34 W 17th St Fl 3, Manhattan, NY 10011","$4,095,000",3,3,"2,253sqft"
"269 Clinton Ave Units 2C & 3C, Brooklyn, NY 11205","$1,350,000",2,1,No display data
"37-26 32nd St Unit 5I, Queens, NY 11101","$1,210,000",2,2,899sqft
"43-12 104th St, Flushing, NY 11368","$2,250,000",7,8,No display data
"109 Morani St Unit 109, Staten Island, NY 10314","$539,000",3,2.5,"1,480sqft"
"42 Edgewater Park Unit 42A, Bronx, NY 10465","$359,000",2,1,"1,400sqft"
"418 Hendrix St, Brooklyn, NY 11207","$700,000",3,2.5,No display data
"622 Katan Ave, Staten Island, NY 10312","$888,000",4,3,"1,972sqft"
"2547 W 2nd St Apt 1J, Brooklyn, NY 11223","$300,000",2,1,950sqft
"1331 E 233rd St, Bronx, NY 10466","$550,000",6,1.5,No display data
"74 Berglund Ave, Staten Island, NY 10314","$748,000",2,1.5,"1,816sqft"
"109-49 215 St, Queens Village, NY 11429","$849,000",6,2,"2,092sqft"
